Lp;etykieta [label];grupa;Polski ISO [i]
118;question_interested;cart;dodać do koszyka
119;szt;cart;szt
120;value_zero_br;cart;brak
121;value_zero_nt;cart;brak

122;crm_title_1;crm;
123;crm_title_2;crm;
124;crm_title_3;crm;
125;crm_variables_1;crm;
126;crm_variables_2;crm;
127;crm_variables_3;crm;

128;COMPANY NAME;firma;FAKRO Sp z o.o, ul. Węgierska 144a 33-300 Nowy Sšcz

129;AJP;kategorie;Żaluzje
130;APS;kategorie;Zasłony plisowane
131;ARF;kategorie;Rolety wewnętrzne ARF
132;ARS;kategorie;Rolety wewnętrzne ARS

133;e;lang;Angielski
134;i;lang;Polski ISO
135;języki;lang;język
136;langs;lang;i,e

137;Accept date;order;Data potwierdzenia
138;Accepted/denied by;order;Przyjęte/odrzucone przez
139;Address;order;Adres
140;Answer_no;order;NIE
141;Answer_yes;order;TAK
142;Are You sure, You want to delete this order ?;order;Czy jeste pewien, że chcesz usunšć zamówienie ?
143;Check the electric modules cancelation;order;Zaznacz, że wiadomie rezygnujesz z zakupu modułu sterowania elektrycznego
144;Choose payment type;order;Wybierz sposób płatnoci
145;Credit card;order;Karta kredytowa
146;Customer name;order;Nazwa klienta
147;Delivery address;order;Adres dostawy
148;Delivery cost;order;Koszty dostawy
149;Do order;order;
150;Go order;order;Zamów
151;Index Name;order;Indeks Nazwa
152;Invoice;order;Faktura VAT
153;No;order;Nr
154;No order in database;order;brak zamówienia w bazie danych
155;Order in FAKRO market no;order;Zamówienie w sklepie FAKRO nr
156;Order items;order;Pozycje zamówienia
157;Pay;order;Zapłać
158;Payer;order;Płatnik
159;Payment type not chosen;order;Nie wybrano sposobu płatnoci
160;Print;order;Drukuj
161;Receipient;order;Odbiorca
162;Tax id;order;NIP
163;Temporary status;order;Aktualny status
164;Terms and condition not accepted;order;Nie zaakceptowano regulaminu sklepu
165;Terms and conditions;order;Regulamin Sklepu
166;Value netto;order;Wartoć netto
167;Value without promotion;order;Wartoć bez promocji
168;When received;order;Przy odbiorze
169;Yes;order;TAK
170;electric modules;order;modułu(ów) sterowania elektrycznego
171;payment_-;order;przy odbiorze
172;payment_c;order;karta kredytowa
173;printlist;order;drukuj listę
174;sysmsg_delivery_free_info_prefix;order;Jeżeli wartoć Twojego zamówienia przekroczy
175;sysmsg_delivery_free_info_suffix;order;- dostawa bezpłatna!
176;total_order_value;order;Całkowita wartoć zamówienia
177;yes I agree;order;tak, akceptuję
178;yes, I cancel purchasing;order;tak, rezygnuję z zakupu

179;display_ajp;probki;none
180;display_aps;probki;
181;display_arf;probki;inline
182;display_ars;probki;inline

183;Account info;register;Parametry konta
184;Agreement required;register;Zgoda jest wymagana
185;Data required;register;Dane wymagane
186;Dont enter if you want us to deliver to payer;register;Jeżeli przesyłka ma być przesłana na adres płatnika nie wypełniaj pól poniżej
187;Enter payer information;register;Teraz proszę o wypełnienie informacji o płatniku
188;Enter your personal data;register;Wprowad poniżej swoje dane potrzebane do zalogowania
189;Name;register;Nazwa
190;Order receiver - delivery address;register;Odbiorca przesyłki - adres do korespondencji
191;Payer info;register;Dane płatnika
192;Save;register;Zapisz
193;Submit building no;register;
194;Your data;register;Twoje dane
195;register_agreement_1;register;Wyrażam zgodę na wykorzystywanie i przetwarzanie przez FAKRO Sp. z o.o. z siedzibš w Nowym Sšczu przy ul. Węgierskiej 144A, moich danych osobowych zawartych w tym formularzu w celach marketingowych, zgodnie z ustawš z dn. 29.08.1997r. o ochronie danych osobowych (Dz. U. Nr 133, poz.883).
196;register_agreement_2;register;Wyrażam zgodę na otrzymywanie informacji promocyjnych, informacyjnych, reklamowych i marketingowych o produktach Fakro Sp. z o.o. 33-300 Nowy Sšcz ul. Węgierska 144a, na mój adres e-mail i telefon zgodnie z ustawš z dnia 18.07.2002r. o wiadczeniu usług drogš elektronicznš (Dz. U. Nr 144, poz. 1204).
197;submit_taxid_if_invoice;register;Jeżeli chcesz otrzymać fakturę VAT, proszę podaj NIP

198;status_;status;status
199;status_-1;status;Zrealizowane
200;status_-5;status;Odrzucone
201;status_0;status;Nowe
202;status_1;status;Przyjęte
203;status_2;status;Zapłacone

204;Add article;system;Dodaj pozycję towaru
205;Add article to offer cart;system;Dodaj pozycję do koszyka
206;Add category;system;Dodaj kategorię
207;Add promotion;system;Dodaj promocję
208;Add to favourites;system;Dodaj do ulubionych
209;Article index;system;Indeks towaru
210;Articles count;system;Iloć pozycji
211;Articles missing;system;Brak pozycji
212;Category code;system;Kod kategorii
213;Category name.;system;Nazwa kategorii
214;Categoty name;system;Nazwa kategorii
215;Clear cart;system;Opróżnij koszyk
216;Count values;system;
217;Delete;system;Usuń
218;Delivery addres;system;Adres dostawy
219;Following articles cant be added to cart:;system;Poniższe pozycje nie mogš być dodane do koszyka
220;Lp;system;Lp
221;Lp.;system;Lp.
222;Move to cart;system;Przenie do koszyka
223;No orders in database.;system;Brak zamówień
224;Notice;system;Sposób płatnoci za składane zamówienie
225;Order;system;Zamówienie
226;Order date;system;Data i godzina zamówienia
227;Order number;system;Nr zam.
228;Order number.;system;Numer zamówienia
229;Order person;system;Osoba zamawiajšca
230;Payment;system;Płatnoć
231;Prepare order;system;Przygotuj zamówienie
232;Prepare reservation;system;Przygotuj reserwacje
233;Print PDF;system;Drukuj do PDF-a
234;Promotion name;system;Nazwa promocji
235;Reservation number;system;Numer rezerwacji
236;Return;system;Powrót
237;Send offer;system;Przelij ofertę
238;Show picture;system;Pokaż zdjęcie
239;Status;system;Status
240;Subcategories;system;Podkategorie
241;Submit login and password;system;Podaj email i hasło
242;Submit order;system;Złóż zamówienie
243;T;system;Tow
244;Total items;system;Iloć elementów
245;Wrong value;system;Niepoprawna wartoć
246;currency;system;zł
247;de;system;Niemiecki
248;delete;system;usuń
249;login;system;zaloguj się
250;logout;system;wyloguj się
251;no group;system;brak grupy
252;pages;system;strony
253;password;system;hasło
254;register;system;zarejestruj się
255;submit_save_msg;system;zapisz tłumaczenie
256;submit_search_in_language;system;szukaj w języku
257;th_addess;system;Adres
258;th_address;system;Adres
259;th_baby_sitter;system;Opiekun
260;th_balance;system;Saldo
261;th_compamy;system;Nazwa firmy
262;th_company;system;Nazwa firmy
263;th_delivery_address;system;Adres dostawy
264;th_email;system;E-mail
265;th_first_name;system;Imię
266;th_flat_no;system;Nr mieszkania
267;th_handy;system;Komórka
268;th_house_no;system;Nr domu
269;th_index;system;Symbol
270;th_login;system;Identyfikator
271;th_name;system;Nazwa
272;th_options;system;Opcje
273;th_password;system;Hasło
274;th_payment_term;system;Termin płatnoci
275;th_pesel;system;Pesel
276;th_register date;system;Data rejestracji
277;th_regon;system;Regon
278;th_sex;system;Płeć
279;th_sur_name;system;Nazwisko
280;th_telephone;system;Telefon
281;th_town;system;Miasto
282;th_zip;system;Kod pocztowy
283;title_ka_to_c;system;iloć towarów
284;title_to_ka_c;system;w ilu kategoriach
285;user code;system;E-mail

286;title_tp_a;towar-param;szerokoć
287;title_tp_b;towar-param;wysokoć
288;title_tp_c;towar-param;
289;title_tp_d;towar-param;
290;title_tp_gatunek;towar-param;Czy pozycja jest sterowaniem elektrycznym ?
291;title_tp_l;towar-param;
292;title_tp_m_jm;towar-param;
293;title_tp_m_m;towar-param;
294;title_tp_m_m2;towar-param;
295;title_tp_m_szt;towar-param;
296;title_tp_o;towar-param;
297;title_tp_r1;towar-param;
298;title_tp_r2;towar-param;
299;title_tp_stan;towar-param;
300;tp_a_jm;towar-param;cm
301;tp_b_jm;towar-param;cm
302;tp_gatunek_jm;towar-param;(tak/nie)

303;City;user;Miasto
304;Company;user;Nazwa firmy
305;Email;user;E-mail
306;Email already in database;user;
307;Fax;user;Faks
308;Forename;user;Imię
309;Identyfication number;user;
310;Login;user;Logowanie
311;Password;user;Hasło
312;Password confirm;user;Potwierdzenie hasła
313;Password confirm not match;user;Potwierdzenie hasła się nie zgadza
314;Please insert Tax Id;user;Proszę podać NIP
315;Please insert Your name;user;Nie podałe imienia
316;Please insert Your surname;user;NIe podałe nazwiska
317;Please insert cellphone number;user;Proszę podać numer telefonu komórkowego
318;Please insert city name;user;Proszę podać miasto
319;Please insert delivery address;user;Proszę podać adres dostawy
320;Please insert email address;user;Proszę podać adres email
321;Please insert password;user;Proszę podać hasło
322;Please insert street name;user;Prosze podać ulicę
323;Please insert telephone number;user;Proszę podać numer telefonu
324;Please insert zip code;user;Proszę podać kod pocztowy
325;Sex;user;
326;Street;user;Ulica
327;Surname;user;Nazwisko
328;Tax Id;user;NIP
329;Telephone;user;Telefon
330;Zip code;user;Kod pocztowy
