Lp;etykieta [label];grupa;Polski ISO [i]
219;Following articles cant be added to cart:;system;Poni¿sze pozycje nie mog¹ byæ dodane do koszyka
220;Lp;system;Lp
221;Lp.;system;Lp.
222;Move to cart;system;Przenie do koszyka
223;No orders in database.;system;Brak zamówieñ
224;Notice;system;Sposób p³atnoci za sk³adane zamówienie
225;Order;system;Zamówienie
226;Order date;system;Data i godzina zamówienia
227;Order number;system;Nr zam.
228;Order number.;system;Numer zamówienia
229;Order person;system;Osoba zamawiaj¹ca
230;Payment;system;P³atnoæ
231;Prepare order;system;Przygotuj zamówienie
232;Prepare reservation;system;Przygotuj reserwacje
233;Print PDF;system;Drukuj do PDF-a
234;Promotion name;system;Nazwa promocji
235;Reservation number;system;Numer rezerwacji
236;Return;system;Powrót
237;Send offer;system;Przelij ofertê
238;Show picture;system;Poka¿ zdjêcie
239;Status;system;Status
240;Subcategories;system;Podkategorie
241;Submit login and password;system;Podaj email i has³o
242;Submit order;system;Z³ó¿ zamówienie
243;T;system;Tow
244;Total items;system;Iloæ elementów
245;Wrong value;system;Niepoprawna wartoæ
246;currency;system;z³
247;de;system;Niemiecki
248;delete;system;usuñ
249;login;system;zaloguj siê
250;logout;system;wyloguj siê
251;no group;system;brak grupy
252;pages;system;strony
253;password;system;has³o
254;register;system;zarejestruj siê
255;submit_save_msg;system;zapisz t³umaczenie
256;submit_search_in_language;system;szukaj w jêzyku
257;th_addess;system;Adres
258;th_address;system;Adres
259;th_baby_sitter;system;Opiekun
260;th_balance;system;Saldo
261;th_compamy;system;Nazwa firmy
262;th_company;system;Nazwa firmy
263;th_delivery_address;system;Adres dostawy
264;th_email;system;E-mail
265;th_first_name;system;Imiê
266;th_flat_no;system;Nr mieszkania
267;th_handy;system;Komórka
268;th_house_no;system;Nr domu
269;th_index;system;Symbol
270;th_login;system;Identyfikator
271;th_name;system;Nazwa
272;th_options;system;Opcje
273;th_password;system;Has³o
274;th_payment_term;system;Termin p³atnoci
275;th_pesel;system;Pesel
276;th_register date;system;Data rejestracji
277;th_regon;system;Regon
278;th_sex;system;P³eæ
279;th_sur_name;system;Nazwisko
280;th_telephone;system;Telefon
281;th_town;system;Miasto
282;th_zip;system;Kod pocztowy
283;title_ka_to_c;system;iloæ towarów
284;title_to_ka_c;system;w ilu kategoriach
285;user code;system;E-mail

286;title_tp_a;towar-param;szerokoæ
287;title_tp_b;towar-param;wysokoæ
288;title_tp_c;towar-param;
289;title_tp_d;towar-param;
290;title_tp_gatunek;towar-param;Czy pozycja jest sterowaniem elektrycznym ?
291;title_tp_l;towar-param;
292;title_tp_m_jm;towar-param;
293;title_tp_m_m;towar-param;
294;title_tp_m_m2;towar-param;
295;title_tp_m_szt;towar-param;
296;title_tp_o;towar-param;
297;title_tp_r1;towar-param;
298;title_tp_r2;towar-param;
299;title_tp_stan;towar-param;
300;tp_a_jm;towar-param;cm
301;tp_b_jm;towar-param;cm
302;tp_gatunek_jm;towar-param;(tak/nie)

303;City;user;Miasto
304;Company;user;Nazwa firmy
305;Email;user;E-mail
306;Email already in database;user;
307;Fax;user;Faks
308;Forename;user;Imiê
309;Identyfication number;user;
310;Login;user;Logowanie
311;Password;user;Has³o
312;Password confirm;user;Potwierdzenie has³a
313;Password confirm not match;user;Potwierdzenie has³a siê nie zgadza
314;Please insert Tax Id;user;Proszê podaæ NIP
315;Please insert Your name;user;Nie poda³e imienia
316;Please insert Your surname;user;NIe poda³e nazwiska
317;Please insert cellphone number;user;Proszê podaæ numer telefonu komórkowego
318;Please insert city name;user;Proszê podaæ miasto
319;Please insert delivery address;user;Proszê podaæ adres dostawy
320;Please insert email address;user;Proszê podaæ adres email
321;Please insert password;user;Proszê podaæ has³o
322;Please insert street name;user;Prosze podaæ ulicê
323;Please insert telephone number;user;Proszê podaæ numer telefonu
324;Please insert zip code;user;Proszê podaæ kod pocztowy
325;Sex;user;
326;Street;user;Ulica
327;Surname;user;Nazwisko
328;Tax Id;user;NIP
329;Telephone;user;Telefon
330;Zip code;user;Kod pocztowy
